Survey_ID,Selected_Class
3,Ascending
11,Ascending
19,Ascending
25,Ascending
28,Ascending
37,Descending
38,Ascending
51,Ascending
52,Ascending
53,Ascending
61,Ascending
64,Ascending
67,Ascending
68,Ascending
69,Ascending
71,Ascending
72,Ascending
74,Ascending
79,Ascending
84,Ascending
86,Ascending
92,Ascending
93,Ascending
97,Ascending
107,Ascending
109,Ascending
117,Ascending
120,Ascending
123,Ascending
124,Ascending
125,Ascending
129,Ascending
132,Ascending
136,Descending
139,Ascending
141,Descending
151,Ascending
152,Ascending
165,Ascending
167,Ascending
181,Ascending
185,Ascending
188,Ascending
189,Ascending
190,Ascending
191,Ascending
193,Ascending
197,Ascending
199,Ascending
200,Passing
1,Descending
2,Descending
4,Descending
6,Descending
12,Descending
13,Descending
16,Descending
17,Descending
18,Descending
22,Descending
23,Descending
24,Descending
26,Descending
27,Descending
30,Descending
31,Descending
32,Descending
35,Descending
39,Descending
41,Descending
43,Descending
46,Descending
47,Descending
50,Descending
55,Descending
56,Descending
58,Descending
60,Descending
62,Descending
63,Descending
66,Descending
70,Descending
73,Descending
75,Descending
76,Descending
78,Descending
82,Descending
83,Descending
85,Descending
88,Descending
90,Descending
91,Descending
98,Descending
99,Ascending
100,Descending
101,Descending
102,Descending
105,Descending
106,Descending
108,Descending
110,Descending
113,Descending
116,Descending
121,Descending
122,Descending
126,Descending
127,Descending
128,Descending
131,Descending
134,Descending
135,Descending
137,Descending
138,Descending
140,Descending
142,Descending
143,Descending
145,Descending
147,Descending
148,Descending
149,Descending
150,Descending
155,Descending
159,Descending
160,Descending
161,Descending
162,Descending
163,Descending
164,Descending
166,Descending
168,Ascending
169,Descending
170,Descending
171,Descending
173,Descending
175,Descending
176,Descending
177,Descending
178,Descending
180,Descending
182,Descending
183,Descending
184,Descending
186,Descending
187,Descending
192,Descending
194,Descending
195,Descending
196,Descending
5,Passing
7,Passing
8,Passing
9,Passing
10,Passing
14,Passing
15,Passing
20,Passing
21,Passing
29,Passing
33,Passing
34,Passing
36,Passing
40,Passing
42,Passing
44,Passing
45,Passing
48,Descending
49,Passing
54,Passing
57,Passing
59,Passing
65,Passing
77,Passing
80,Descending
81,Passing
87,Passing
89,Passing
94,Descending
95,Descending
96,Descending
103,Passing
104,Passing
111,Descending
112,Passing
114,Passing
115,Passing
118,Passing
119,Passing
130,Passing
133,Passing
144,Passing
146,Passing
153,Passing
154,Passing
156,Passing
157,Passing
158,Passing
172,Passing
174,Passing
179,Passing
198,Passing
