s_thres [m],t [s],dwell time,proxy(=reopen)
s = 0,4.6(+0),0:21:29,5
,5.6(+1),0:21:38,4
,6.6(+2),0:21:47,4
,7.6(+3),0:21:56,3
,8.6(+4),0:22:05,2
,9.6(+5),0:22:14,1
,10.6(+6),0:22:23,1
,11.6(+7),0:22:32,1
,12.6(+8),0:22:41,1
,13.6(+9),0:22:50,1
,14.6(+10),0:22:59,1
,15.6(+11),0:23:08,1
,16.6(+12),0:23:17,1
,17.6(+13),0:23:26,1
,18.6(+14),0:23:35,0
,19.6(+15),0:23:44,0
s = 1.62,4.6(+0),0:21:15,2
,5.6(+1),0:21:21,1
,6.6(+2),0:21:27,1
,7.6(+3),0:21:33,1
,8.6(+4),0:21:39,1
,9.6(+5),0:21:45,0
,10.6(+6),0:21:51,0
,11.6(+7),0:21:57,0
,12.6(+8),0:22:03,0
,13.6(+9),0:22:09,0
,14.6(+10),0:22:15,0
,15.6(+11),0:22:21,0
,16.6(+12),0:22:27,0
,17.6(+13),0:22:33,0
,18.6(+14),0:22:39,0
,19.6(+15),0:22:45,0
s = 2.62,4.6(+0),0:21:06,0
,5.6(+1),0:21:10,0
,6.6(+2),0:21:14,0
,7.6(+3),0:21:18,0
,8.6(+4),0:21:22,0
,9.6(+5),0:21:26,0
,10.6(+6),0:21:30,0
,11.6(+7),0:21:34,0
,12.6(+8),0:21:38,0
,13.6(+9),0:21:42,0
,14.6(+10),0:21:46,0
,15.6(+11),0:21:50,0
,16.6(+12),0:21:54,0
,17.6(+13),0:21:58,0
,18.6(+14),0:22:02,0
,19.6(+15),0:22:06,0
