Survey_ID,Ground_Truth_Class,Img_Minus30,Img_Minus20,Img_Minus10,Img_Target,Img_Target_Original,Img_Full
1,Descending,S001_minus30_crop.jpg,S001_minus20_crop.jpg,S001_minus10_crop.jpg,S001_target_crop.jpg,S001_target_original.jpg,S001_full_context.jpg
2,Descending,S002_minus30_crop.jpg,S002_minus20_crop.jpg,S002_minus10_crop.jpg,S002_target_crop.jpg,S002_target_original.jpg,S002_full_context.jpg
3,Ascending,S003_minus30_crop.jpg,S003_minus20_crop.jpg,S003_minus10_crop.jpg,S003_target_crop.jpg,S003_target_original.jpg,S003_full_context.jpg
4,Descending,S004_minus30_crop.jpg,S004_minus20_crop.jpg,S004_minus10_crop.jpg,S004_target_crop.jpg,S004_target_original.jpg,S004_full_context.jpg
5,Passing,S005_minus30_crop.jpg,S005_minus20_crop.jpg,S005_minus10_crop.jpg,S005_target_crop.jpg,S005_target_original.jpg,S005_full_context.jpg
6,Descending,S006_minus30_crop.jpg,S006_minus20_crop.jpg,S006_minus10_crop.jpg,S006_target_crop.jpg,S006_target_original.jpg,S006_full_context.jpg
7,Passing,S007_minus30_crop.jpg,S007_minus20_crop.jpg,S007_minus10_crop.jpg,S007_target_crop.jpg,S007_target_original.jpg,S007_full_context.jpg
8,Passing,S008_minus30_crop.jpg,S008_minus20_crop.jpg,S008_minus10_crop.jpg,S008_target_crop.jpg,S008_target_original.jpg,S008_full_context.jpg
9,Passing,S009_minus30_crop.jpg,S009_minus20_crop.jpg,S009_minus10_crop.jpg,S009_target_crop.jpg,S009_target_original.jpg,S009_full_context.jpg
10,Descending,S010_minus30_crop.jpg,S010_minus20_crop.jpg,S010_minus10_crop.jpg,S010_target_crop.jpg,S010_target_original.jpg,S010_full_context.jpg
11,Ascending,S011_minus30_crop.jpg,S011_minus20_crop.jpg,S011_minus10_crop.jpg,S011_target_crop.jpg,S011_target_original.jpg,S011_full_context.jpg
12,Descending,S012_minus30_crop.jpg,S012_minus20_crop.jpg,S012_minus10_crop.jpg,S012_target_crop.jpg,S012_target_original.jpg,S012_full_context.jpg
13,Descending,S013_minus30_crop.jpg,S013_minus20_crop.jpg,S013_minus10_crop.jpg,S013_target_crop.jpg,S013_target_original.jpg,S013_full_context.jpg
14,Passing,S014_minus30_crop.jpg,S014_minus20_crop.jpg,S014_minus10_crop.jpg,S014_target_crop.jpg,S014_target_original.jpg,S014_full_context.jpg
15,Passing,S015_minus30_crop.jpg,S015_minus20_crop.jpg,S015_minus10_crop.jpg,S015_target_crop.jpg,S015_target_original.jpg,S015_full_context.jpg
16,Descending,S016_minus30_crop.jpg,S016_minus20_crop.jpg,S016_minus10_crop.jpg,S016_target_crop.jpg,S016_target_original.jpg,S016_full_context.jpg
17,Descending,S017_minus30_crop.jpg,S017_minus20_crop.jpg,S017_minus10_crop.jpg,S017_target_crop.jpg,S017_target_original.jpg,S017_full_context.jpg
18,Descending,S018_minus30_crop.jpg,S018_minus20_crop.jpg,S018_minus10_crop.jpg,S018_target_crop.jpg,S018_target_original.jpg,S018_full_context.jpg
19,Ascending,S019_minus30_crop.jpg,S019_minus20_crop.jpg,S019_minus10_crop.jpg,S019_target_crop.jpg,S019_target_original.jpg,S019_full_context.jpg
20,Passing,S020_minus30_crop.jpg,S020_minus20_crop.jpg,S020_minus10_crop.jpg,S020_target_crop.jpg,S020_target_original.jpg,S020_full_context.jpg
21,Passing,S021_minus30_crop.jpg,S021_minus20_crop.jpg,S021_minus10_crop.jpg,S021_target_crop.jpg,S021_target_original.jpg,S021_full_context.jpg
22,Descending,S022_minus30_crop.jpg,S022_minus20_crop.jpg,S022_minus10_crop.jpg,S022_target_crop.jpg,S022_target_original.jpg,S022_full_context.jpg
23,Descending,S023_minus30_crop.jpg,S023_minus20_crop.jpg,S023_minus10_crop.jpg,S023_target_crop.jpg,S023_target_original.jpg,S023_full_context.jpg
24,Descending,S024_minus30_crop.jpg,S024_minus20_crop.jpg,S024_minus10_crop.jpg,S024_target_crop.jpg,S024_target_original.jpg,S024_full_context.jpg
25,Ascending,S025_minus30_crop.jpg,S025_minus20_crop.jpg,S025_minus10_crop.jpg,S025_target_crop.jpg,S025_target_original.jpg,S025_full_context.jpg
