Survey_ID,Selected_Class
1,Descending
2,Descending
3,Ascending
4,Descending
5,Descending
6,Descending
7,Passing
8,Passing
9,Descending
10,Descending
11,Ascending
12,Descending
13,Ascending
14,Passing
15,Passing
16,Descending
17,Descending
18,Descending
19,Ascending
20,Ascending
21,Passing
22,Descending
23,Descending
24,Descending
25,Ascending
26,Descending
27,Descending
28,Ascending
29,Descending
30,Ascending
31,Descending
32,Descending
33,Passing
34,Ascending
35,Descending
36,Passing
37,Ascending
38,Ascending
39,Descending
40,Passing
41,Descending
42,Descending
43,Ascending
44,Descending
45,Passing
46,Descending
47,Descending
48,Passing
49,Passing
50,Passing
51,Ascending
52,Descending
53,Ascending
54,Passing
55,Descending
56,Descending
57,Passing
58,Descending
59,Descending
60,Descending
61,Ascending
62,Ascending
63,Descending
64,Ascending
65,Descending
66,Descending
67,Ascending
68,Ascending
69,Ascending
70,Descending
71,Ascending
72,Ascending
73,Descending
74,Ascending
75,Descending
76,Descending
77,Ascending
78,Descending
79,Descending
80,Passing
81,Passing
82,Passing
83,Descending
84,Ascending
85,Descending
86,Ascending
87,Ascending
88,Descending
89,Descending
90,Descending
91,Descending
92,Ascending
93,Ascending
94,Descending
95,Descending
96,Descending
97,Ascending
98,Descending
99,Ascending
100,Descending
101,Descending
102,Descending
103,Passing
104,Ascending
105,Descending
106,Descending
107,Descending
108,Descending
109,Ascending
110,Descending
111,Passing
112,Passing
113,Descending
114,Ascending
115,Ascending
116,Descending
117,Ascending
118,Passing
119,Passing
120,Ascending
121,Descending
122,Descending
123,Ascending
124,Ascending
125,Ascending
126,Passing
127,Passing
128,Descending
129,Ascending
130,Ascending
131,Descending
132,Ascending
133,Passing
134,Passing
135,Descending
136,Ascending
137,Descending
138,Descending
139,Ascending
140,Descending
141,Ascending
142,Descending
143,Descending
144,Descending
145,Descending
146,Ascending
147,Descending
148,Descending
149,Descending
150,Descending
151,Ascending
152,Ascending
153,Descending
154,Descending
155,Descending
156,Passing
157,Ascending
158,Descending
159,Descending
160,Descending
161,Descending
162,Descending
163,Descending
164,Passing
165,Ascending
166,Descending
167,Descending
168,Passing
169,Descending
170,Descending
171,Descending
172,Passing
173,Descending
174,Passing
175,Descending
176,Descending
177,Descending
178,Ascending
179,Passing
180,Descending
181,Ascending
182,Passing
183,Descending
184,Descending
185,Ascending
186,Descending
187,Descending
188,Ascending
189,Ascending
190,Ascending
191,Ascending
192,Descending
193,Ascending
194,Descending
195,Descending
196,Descending
197,Descending
198,Passing
199,Ascending
200,Ascending
