Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size						epoch	train mAP	test mAP
0_()	14.6G	1.191	1.907	1.22	123	320:00:00	100% 63/63	[01:	"47<00:00,  1.71s/it]"			0_()	0.918	0.919
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.06s/it]				
	all	5292	10764	0.782	0.848	0.918	0.689							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.97s/it]				
	all	1086	2161	0.759	0.861	0.919	0.718							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
1_()	14.1G	0.9686	0.8716	1.083	106	320:00:00	100% 63/63	[01:	"37<00:00,  1.55s/it]"			1_()	0.919	0.909
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.12s/it]				
	all	5292	10764	0.848	0.862	0.919	0.721							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.83s/it]				
	all	1086	2161	0.817	0.846	0.909	0.741							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
2_()	14.1G	1.045	0.8846	1.133	95	320:00:00	100% 63/63	[01:	"34<00:00,  1.50s/it]"			2_()	0.884	0.877
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.00s/it]				
	all	5292	10764	0.853	0.808	0.884	0.632							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.98s/it]				
	all	1086	2161	0.862	0.783	0.877	0.637							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
3_()	14.1G	1.126	0.9444	1.176	90	320:00:00	100% 63/63	[01:	"34<00:00,  1.49s/it]"			3_()	0.497	0.499
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.08s/it]				
