ID	stairs --> floor [s]	floor -> psd [s]	특징(door2는 제외)
1	5.5	2.5	
2	5.7	3.53	
2	4.8	7.47	큰아이
2	6.73	2.8	작은 어린이
2	7.2	3.43	할머니 아이2 같이
2	6.7	1.93	
2	4.37	2.7	
2	6.4	1.67	
2	6.4	2.5	
2	4.87	1.83	
2	7.93	2.4	
2	6.6	2.57	
2	6.7	2.5	
2	3.47	2.2	
2	6.67	2.07	
2	6.37	2.13	
3	4.5	2.1	
3	4.93	3.3	door2
3	4.94	4.2	door2
3	4.97	2.97	
3	6.27	3.33	
3	5.17	3.8	
3	5.13	1.67	
3	6.8	2.8	
3	8.37	3.63	
3	3.83	2.53	
3	6.43	2.2	
4	2.83	1.57	
4	3.77	1.9	
4	7.67	2.3	
4	7.6	2.53	
4	7.2	2.53	
4	7.93	4.27	door2
4	11.73	6.37	
4	10.13	4.17	
4	11.33	2.9	
4	10.1	2.77	
4	8.7	2.17	
4	3.1	1.8	
4	8.8	4.6	
4	9	2.6	
4	9	2.87	
4	6.03	1.97	
4	6.67	2.4	
5	7.27	3.77	
5	5.57	2.17	
5	3.73	2.77	
5	3.97	2.43	
5	7.37	3.63	
5	8.27	4.57	
5	9.03	2.47	
5	5.8	1.53	
5	3.83	2.1	
5	7.63	1.7	
5	4.27	2.17	
5	4.3	1.83	
5	6.23	1.63	
5	8.27	2.9	
5	6.2	2.27	
5	3.93	1.57	
5	5.63	2.57	
5	4.3	1.93	
5	7.8	5.43	
