s_thres [m],t_hold [s],dwell time,proxy(=reopen),
s = 0,0,00:20:42,10,
,1,00:20:52,8,
,2,00:21:02,7,
,3,00:21:12,7,
,4,00:21:22,7,
,5,00:21:32,5,
,6,00:21:42,4,
,7,00:21:52,4,
,8,00:22:02,2,
,9,00:22:12,1,
,10,00:22:22,1,
,11,00:22:32,1,
,12,00:22:42,1,
,13,00:22:52,1,
,14,00:23:02,1,
,15,00:23:12,1,
,16,00:23:22,1,
,17,00:23:32,1,
,18,00:23:42,1,
,19,00:23:52,0,
s = 1.63,0,0:20:42,8,
,1,0:20:49,6,
,2,0:20:56,5,
,3,0:21:03,4,
,4,0:21:10,4,
,5,0:21:17,2,
,6,0:21:24,1,
,7,0:21:31,1,
,8,0:21:38,1,
,9,0:21:45,0,
,10,0:21:52,0,
,11,0:21:59,0,
,12,0:22:06,0,
,13,0:22:13,0,
,14,0:22:20,0,
,15,0:22:27,0,
,16,0:22:34,0,
,17,0:22:41,0,
,18,0:22:48,0,
,19,0:22:55,0,
s = 2.62,0,00:20:42,6,
,1,00:20:47,4,
,2,00:20:52,3,
,3,00:20:57,2,
,4,00:21:02,2,
,5,00:21:07,0,
,6,00:21:12,0,
,7,00:21:17,0,
,8,00:21:22,0,
,9,00:21:27,0,
,10,00:21:32,0,
,11,00:21:37,0,
,12,00:21:42,0,
,13,00:21:47,0,
,14,00:21:52,0,
,15,00:21:57,0,
,16,00:22:02,0,
,17,00:22:07,0,
,18,00:22:12,0,
,19,00:22:17,0,
s = 3.27,0,00:20:42,5,proxy 1?? s_th??? ???. s_th? ???? ?????
,1,00:20:46,3,
,2,00:20:50,2,
,3,00:20:54,2,
,4,00:20:58,2,
,5,00:21:02,1,
,6,00:21:06,1,
,7,00:21:10,1,
,8,00:21:14,1,
,9,00:21:18,1,
,10,00:21:22,1,
,11,00:21:26,1,
,12,00:21:30,1,
,13,00:21:34,1,
,14,00:21:38,1,
,15,00:21:42,1,
,16,00:21:46,1,
,17,00:21:50,1,
,18,00:21:54,1,
,19,00:21:58,1,
