Seed,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
0,all,536,1044,0.923,0.915,0.96,0.756
0,U,536,302,0.932,0.907,0.964,0.734
0,D,536,383,0.928,0.935,0.966,0.755
0,P,536,359,0.91,0.903,0.951,0.779
1,all,536,1044,0.928,0.918,0.963,0.761
1,U,536,302,0.937,0.917,0.965,0.744
1,D,536,383,0.936,0.922,0.971,0.758
1,P,536,359,0.911,0.914,0.953,0.779
2,all,536,1044,0.929,0.904,0.961,0.757
2,U,536,302,0.942,0.914,0.967,0.733
2,D,536,383,0.932,0.906,0.963,0.753
2,P,536,359,0.914,0.892,0.952,0.786
3,all,536,1044,0.939,0.903,0.957,0.753
3,U,536,302,0.942,0.921,0.967,0.737
3,D,536,383,0.928,0.909,0.953,0.741
3,P,536,359,0.949,0.88,0.952,0.78
4,all,536,1044,0.945,0.902,0.965,0.765
4,U,536,302,0.948,0.903,0.971,0.743
4,D,536,383,0.945,0.922,0.966,0.762
4,P,536,359,0.943,0.883,0.959,0.791
