Conf,IoU,mAP@0.5
0.001,0.3,0.9743391712298113
0.001,0.35,0.9753964557694049
0.001,0.4,0.9759353060378825
0.001,0.45,0.9759873321009281
0.001,0.5,0.9771907848469716
0.001,0.55,0.9771188974305076
0.001,0.6,0.9770124338919618
0.001,0.65,0.9769195480141951
0.001,0.7,0.9766597270410183
0.001,0.75,0.9766861486440132
0.001,0.8,0.9760780015962364
0.001,0.85,0.9750025282424931
0.001,0.9,0.9727060529513102
0.1,0.3,0.9659461645117542
0.1,0.35,0.9675630521717765
0.1,0.4,0.9675630521717765
0.1,0.45,0.967547904704205
0.1,0.5,0.9679652141686045
0.1,0.55,0.9683792649989926
0.1,0.6,0.9683369915949772
0.1,0.65,0.9682583042659604
0.1,0.7,0.9681715954554053
0.1,0.75,0.9679070909345482
0.1,0.8,0.9676030661307459
0.1,0.85,0.9669271947297791
0.1,0.9,0.9653253567873162
0.2,0.3,0.961652074276344
0.2,0.35,0.9631319357072838
0.2,0.4,0.9631319357072838
0.2,0.45,0.9631311642185301
0.2,0.5,0.963109041646042
0.2,0.55,0.9630664940125634
0.2,0.6,0.9630664940125634
0.2,0.65,0.9629738995451608
0.2,0.7,0.9629210089129329
0.2,0.75,0.9627335600186502
0.2,0.8,0.9625056958686237
0.2,0.85,0.9620249438174363
0.2,0.9,0.9606360515309236
0.3,0.3,0.9609692959680566
0.3,0.35,0.962521451448591
0.3,0.4,0.962521451448591
0.3,0.45,0.9625206799598373
0.3,0.5,0.9624979930829826
0.3,0.55,0.9624979930829826
0.3,0.6,0.9624979930829826
0.3,0.65,0.9624434492087337
0.3,0.7,0.9624092966191955
0.3,0.75,0.962280131643047
0.3,0.8,0.9620897168030904
0.3,0.85,0.9617645225024486
0.3,0.9,0.9604759213295075
0.4,0.3,0.9584678092943686
0.4,0.35,0.9599869726467324
0.4,0.4,0.9599869726467324
0.4,0.45,0.9599862011579786
0.4,0.5,0.9599862011579786
0.4,0.55,0.9599862011579786
0.4,0.6,0.9599862011579786
0.4,0.65,0.959958208185895
0.4,0.7,0.9599249926170986
0.4,0.75,0.9598496998645171
0.4,0.8,0.9596873653592884
0.4,0.85,0.9594028874533906
0.4,0.9,0.9581966183296408
0.5,0.3,0.9556439970369476
0.5,0.35,0.9576424215046648
0.5,0.4,0.9576424215046648
0.5,0.45,0.9576416500159111
0.5,0.5,0.9576416500159111
0.5,0.55,0.9576416500159111
0.5,0.6,0.9576416500159111
0.5,0.65,0.9576416500159111
0.5,0.7,0.9576416500159111
0.5,0.75,0.9575672833997896
0.5,0.8,0.9574664314895608
0.5,0.85,0.9572139236888625
0.5,0.9,0.9562058030784061
