Conf,IoU,mAP@0.5
0.001,0.3,0.974
0.001,0.4,0.976
0.001,0.5,0.977
0.001,0.6,0.977
0.001,0.7,0.977
0.001,0.8,0.976
0.001,0.9,0.973
0.1,0.3,0.966
0.1,0.4,0.968
0.1,0.5,0.968
0.1,0.6,0.968
0.1,0.7,0.968
0.1,0.8,0.968
0.1,0.9,0.965
0.2,0.3,0.962
0.2,0.4,0.963
0.2,0.5,0.963
0.2,0.6,0.963
0.2,0.7,0.963
0.2,0.8,0.963
0.2,0.9,0.961
0.3,0.3,0.961
0.3,0.4,0.963
0.3,0.5,0.962
0.3,0.6,0.962
0.3,0.7,0.962
0.3,0.8,0.962
0.3,0.9,0.96
0.4,0.3,0.958
0.4,0.4,0.96
0.4,0.5,0.96
0.4,0.6,0.96
0.4,0.7,0.96
0.4,0.8,0.96
0.4,0.9,0.958
0.5,0.3,0.956
0.5,0.4,0.958
0.5,0.5,0.958
0.5,0.6,0.958
0.5,0.7,0.958
0.5,0.8,0.957
0.5,0.9,0.956
