               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3549,              3.2231,              1.3593,             0.29485,              0.5998,              0.3702,             0.28537,             0.79041,              2.1451,              1.1623,              0.0874,              0.0014,              0.0014
                   1,              1.0567,              1.5194,              1.1898,             0.59329,             0.74139,             0.71895,             0.53512,              0.7046,              1.1058,              1.0926,            0.073881,           0.0028806,           0.0028806
                   2,             0.89955,              1.1577,               1.086,             0.63403,             0.73835,             0.80157,             0.62914,             0.69524,             0.98019,              1.0727,            0.060341,           0.0043411,           0.0043411
                   3,             0.90523,             0.97593,               1.071,              0.6967,             0.85223,             0.84216,             0.66133,             0.70213,             0.82182,               1.071,            0.046782,           0.0057816,           0.0057816
                   4,             0.90283,             0.95561,              1.0656,             0.78793,             0.84846,             0.87709,             0.69039,             0.72216,             0.84342,              1.0832,            0.033202,            0.007202,            0.007202
                   5,             0.92933,              0.9374,              1.0821,             0.78724,             0.70292,             0.80221,             0.62033,             0.78874,              1.6724,              1.1608,            0.019602,           0.0086023,           0.0086023
                   6,             0.99247,             0.93921,               1.106,             0.75821,             0.71931,             0.79406,             0.57243,             0.91973,              1.5269,              1.2884,           0.0095986,           0.0095986,           0.0095986
                   7,              1.0222,             0.96691,              1.1415,             0.61691,             0.57991,             0.55431,              0.3773,             0.98688,              2.0994,              1.3654,           0.0095986,           0.0095986,           0.0095986
                   8,              1.0084,             0.96153,              1.1333,             0.70041,             0.68412,             0.68081,             0.49344,             0.96426,              2.4424,              1.3184,           0.0095318,           0.0095318,           0.0095318
                   9,              1.0108,             0.93628,              1.1324,             0.68995,             0.69877,             0.71549,             0.47995,             0.99314,              2.9454,              1.3709,           0.0094649,           0.0094649,           0.0094649
                  10,             0.99141,             0.92901,              1.1189,             0.68411,             0.60675,             0.66981,             0.48732,             0.98318,              3.3187,              1.3299,            0.009398,            0.009398,            0.009398
                  11,             0.98537,             0.91024,              1.1171,             0.72823,             0.68353,             0.72986,             0.52764,             0.99701,              2.1992,              1.3626,           0.0093311,           0.0093311,           0.0093311
                  12,              0.9765,             0.89547,              1.1349,             0.68101,             0.65196,             0.70355,             0.49119,             0.98002,              2.3428,              1.3723,           0.0092642,           0.0092642,           0.0092642
                  13,             0.96485,             0.88052,              1.1334,             0.69886,             0.73292,              0.7679,              0.5263,             0.96236,              1.4964,              1.3435,           0.0091973,           0.0091973,           0.0091973
                  14,             0.97662,             0.88023,              1.1194,             0.77492,              0.6897,              0.7714,             0.53405,             0.93755,              1.2938,              1.3026,           0.0091304,           0.0091304,           0.0091304
