               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8165,              4.5414,               1.442,            0.071752,            0.083677,            0.034888,            0.020196,             0.99982,              3.9986,              1.0902,              0.0955,              0.0005,              0.0005
                   1,              1.7775,              4.3797,              1.4193,             0.21562,             0.15679,             0.12765,             0.08568,             0.97254,              2.8603,              1.0963,            0.090091,           0.0010906,           0.0010906
                   2,              1.5066,              2.6483,              1.3061,             0.36557,             0.57498,             0.41279,             0.27707,              0.8811,              2.2673,              1.0869,            0.084671,            0.001671,            0.001671
                   3,              1.3181,              1.5928,              1.2198,             0.54265,             0.50544,             0.53026,             0.34936,             0.87646,              1.6946,                1.09,            0.079241,           0.0022411,           0.0022411
                   4,              1.1725,              1.3443,              1.1233,             0.51796,             0.69987,             0.61384,             0.40845,             0.88213,               1.414,              1.1035,            0.073801,            0.002801,            0.002801
                   5,              1.0963,              1.2315,              1.0913,             0.54417,             0.70025,             0.65774,             0.44751,             0.85297,              1.3337,                 1.1,            0.068351,           0.0033506,           0.0033506
                   6,              1.0791,              1.0967,              1.0713,              0.5112,             0.68345,             0.68319,             0.48822,             0.79388,              1.0797,              1.0737,             0.06289,           0.0038901,           0.0038901
                   7,               1.047,              1.0468,              1.0528,             0.66727,              0.6897,             0.73992,             0.51821,             0.87221,              1.0205,              1.0893,            0.057419,           0.0044192,           0.0044192
                   8,              1.0729,             0.97684,              1.0427,             0.69983,             0.75451,              0.7864,             0.56602,             0.82824,             0.96453,               1.057,            0.051938,           0.0049381,           0.0049381
                   9,              1.0621,             0.92569,              1.0362,             0.75632,             0.81545,             0.85194,             0.62851,             0.80905,              0.7281,              1.0434,            0.046447,           0.0054468,           0.0054468
                  10,              1.0771,             0.89646,              1.0367,             0.77743,             0.74946,             0.84188,             0.63019,             0.82203,             0.72684,              1.0393,            0.040945,           0.0059453,           0.0059453
                  11,              1.0467,             0.88819,              1.0264,             0.77983,              0.7631,             0.84562,             0.61659,             0.90286,             0.80318,              1.0574,            0.035433,           0.0064335,           0.0064335
