               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2544,              2.0365,              1.3966,             0.58075,              0.6963,             0.66636,             0.47316,             0.86102,              1.1192,              1.1807,            0.070441,           0.0032843,           0.0032843
                   1,              1.0621,              1.2563,              1.2392,             0.77319,             0.70826,             0.80888,             0.59325,             0.86023,             0.96915,               1.118,            0.040388,           0.0065644,           0.0065644
                   2,              1.0895,              1.1554,              1.2461,             0.76872,             0.68656,             0.79349,             0.56079,             0.93046,             0.95177,              1.1845,            0.010281,           0.0097908,           0.0097908
                   3,              1.1554,              1.1569,              1.2879,              0.7929,             0.75736,             0.84061,             0.56096,              1.0176,                1.16,              1.2776,           0.0097585,           0.0097585,           0.0097585
                   4,              1.1281,              1.0556,               1.283,             0.77799,             0.75001,             0.80439,             0.55985,              1.0753,             0.88124,              1.3498,           0.0097585,           0.0097585,           0.0097585
                   5,              1.1479,              1.0833,              1.3002,             0.75782,             0.74656,             0.79598,             0.55657,             0.95946,              1.1206,              1.3044,            0.009678,            0.009678,            0.009678
                   6,              1.1339,              1.0501,              1.3026,             0.84577,              0.7292,             0.85073,             0.57882,              1.0202,             0.98086,              1.2713,           0.0095976,           0.0095976,           0.0095976
                   7,              1.1102,              1.0101,              1.2836,             0.80895,             0.76012,             0.84884,             0.61391,             0.92101,              0.8208,              1.2097,           0.0095171,           0.0095171,           0.0095171
                   8,              1.1224,              1.0177,              1.2879,               0.891,             0.77072,             0.87015,             0.63203,             0.95124,             0.77036,              1.2564,           0.0094366,           0.0094366,           0.0094366
                   9,              1.1046,             0.99343,              1.2748,             0.82291,             0.76821,             0.87065,             0.61051,             0.97938,             0.86434,              1.2595,           0.0093561,           0.0093561,           0.0093561
                  10,              1.0834,             0.95782,              1.2619,             0.83615,             0.81616,             0.88848,               0.636,             0.91653,             0.72417,              1.1654,           0.0092756,           0.0092756,           0.0092756
                  11,              1.0742,             0.95078,              1.2644,              0.8797,             0.79342,             0.89699,             0.65577,             0.90409,             0.69706,               1.222,           0.0091951,           0.0091951,           0.0091951
                  12,              1.0703,             0.95948,              1.2661,             0.85085,              0.7779,             0.87149,             0.64391,             0.90071,             0.77616,               1.189,           0.0091146,           0.0091146,           0.0091146
                  13,              1.0697,             0.94541,              1.2553,             0.84927,             0.80687,             0.87488,             0.63853,             0.92361,             0.75232,              1.2231,           0.0090341,           0.0090341,           0.0090341
                  14,              1.0546,              0.9188,              1.2478,             0.84441,             0.81649,             0.88146,             0.64405,             0.89748,             0.69817,              1.1997,           0.0089537,           0.0089537,           0.0089537
                  15,              1.0675,             0.89291,              1.2445,             0.89476,             0.77843,             0.90526,             0.66564,             0.88108,             0.65817,              1.2041,           0.0088732,           0.0088732,           0.0088732
                  16,              1.0448,             0.89518,              1.2377,             0.82731,             0.84874,             0.89846,             0.67873,             0.84969,             0.63968,              1.1814,           0.0087927,           0.0087927,           0.0087927
                  17,              1.0356,             0.88256,              1.2287,             0.86724,             0.81616,             0.89211,             0.65358,             0.90466,              0.6634,              1.2092,           0.0087122,           0.0087122,           0.0087122
                  18,              1.0102,             0.86345,              1.2262,             0.83577,             0.83828,             0.89385,             0.64285,              0.9112,             0.67465,               1.202,           0.0086317,           0.0086317,           0.0086317
                  19,              1.0077,             0.84574,              1.2179,              0.8892,             0.82214,             0.89316,             0.65427,             0.88895,             0.67024,              1.2104,           0.0085512,           0.0085512,           0.0085512
                  20,              1.0005,             0.83403,              1.2118,              0.8842,             0.81381,             0.89563,             0.67851,             0.86212,             0.65392,              1.1537,           0.0084707,           0.0084707,           0.0084707
