               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2616,              2.1176,              1.3289,             0.73913,             0.80562,             0.85749,             0.65957,             0.79946,             0.92878,              1.0296,            0.070682,           0.0032576,           0.0032576
                   1,             0.97923,             0.97262,              1.0907,             0.80491,             0.86595,             0.93638,              0.7302,             0.77622,              1.0057,              1.0129,            0.040613,           0.0065222,           0.0065222
                   2,              1.0568,             0.95471,              1.1278,             0.67332,             0.67147,             0.70547,             0.42768,              1.2341,              3.1017,              1.3569,            0.010475,           0.0097174,           0.0097174
                   3,              1.1261,              1.0148,              1.1777,              0.5892,             0.65988,             0.67774,             0.45534,              1.0346,              4.4727,              1.3192,           0.0096874,           0.0096874,           0.0096874
                   4,              1.1161,             0.97601,              1.1651,             0.78313,             0.77333,             0.80569,             0.59166,             0.92801,               3.113,              1.2322,           0.0096874,           0.0096874,           0.0096874
                   5,              1.1087,             0.94351,              1.1745,              0.7306,             0.70446,             0.77515,             0.53056,              1.0492,              2.3099,              1.2863,           0.0095832,           0.0095832,           0.0095832
                   6,              1.0884,             0.91816,               1.164,             0.56555,             0.66626,             0.66778,             0.45338,              1.0632,              2.7622,              1.3292,           0.0094789,           0.0094789,           0.0094789
                   7,              1.0619,              0.8714,              1.1446,             0.78637,             0.79568,             0.84792,             0.66029,             0.81251,              1.6145,              1.0815,           0.0093747,           0.0093747,           0.0093747
                   8,               1.052,             0.86651,              1.1443,             0.83184,             0.80555,             0.85868,             0.61769,             0.97988,              1.3095,              1.1994,           0.0092705,           0.0092705,           0.0092705
                   9,              1.0266,             0.83324,               1.134,             0.82451,             0.61462,             0.78631,             0.60518,             0.96489,              1.4485,              1.2764,           0.0091663,           0.0091663,           0.0091663
                  10,              1.0188,              0.8195,              1.1304,             0.85672,              0.8506,             0.90991,             0.70264,             0.80786,             0.66809,              1.0932,           0.0090621,           0.0090621,           0.0090621
                  11,              1.0098,             0.81138,              1.1363,             0.86492,             0.84275,             0.91821,             0.72879,             0.74796,             0.72644,              1.0518,           0.0089579,           0.0089579,           0.0089579
                  12,              1.0023,             0.79411,              1.1209,             0.57108,             0.38324,             0.48034,             0.31257,              1.4686,               2.973,              1.7368,           0.0088537,           0.0088537,           0.0088537
                  13,              1.0029,             0.78431,              1.1217,              0.8432,             0.80196,             0.88207,             0.69696,             0.76092,             0.75518,              1.0644,           0.0087495,           0.0087495,           0.0087495
                  14,             0.99102,             0.77306,               1.117,             0.87273,             0.88293,             0.93717,             0.71908,             0.82309,             0.64735,              1.0732,           0.0086453,           0.0086453,           0.0086453
                  15,             0.96389,             0.75358,              1.1108,             0.89114,             0.89193,             0.94301,             0.77031,             0.69582,             0.58027,              1.0285,           0.0085411,           0.0085411,           0.0085411
                  16,             0.95554,               0.732,              1.1035,             0.87441,             0.85345,             0.91682,             0.70594,             0.78554,             0.65379,              1.0728,           0.0084368,           0.0084368,           0.0084368
                  17,             0.95717,             0.73329,              1.1003,             0.89708,             0.89864,             0.95725,             0.75183,             0.77938,             0.57029,              1.0373,           0.0083326,           0.0083326,           0.0083326
                  18,             0.95533,             0.72092,              1.0993,             0.89547,             0.87388,             0.94111,             0.77329,             0.69967,              0.5588,              1.0052,           0.0082284,           0.0082284,           0.0082284
                  19,             0.93424,             0.70031,              1.0925,             0.86507,              0.8563,             0.91306,             0.72567,             0.76612,             0.83286,               1.061,           0.0081242,           0.0081242,           0.0081242
                  20,             0.93716,             0.69664,              1.0947,             0.89477,             0.91396,             0.95416,             0.78316,             0.71332,             0.54061,              1.0292,             0.00802,             0.00802,             0.00802
                  21,             0.92518,             0.69495,              1.0938,             0.90704,             0.82499,              0.9333,             0.76054,             0.69702,             0.87794,              1.0187,           0.0079158,           0.0079158,           0.0079158
                  22,             0.91922,             0.67335,              1.0863,             0.87945,             0.86234,             0.91501,             0.74849,             0.70506,             0.65786,               1.027,           0.0078116,           0.0078116,           0.0078116
                  23,             0.92668,             0.69191,              1.0857,             0.90753,             0.87753,             0.93708,             0.75664,             0.72563,             0.59203,              1.0301,           0.0077074,           0.0077074,           0.0077074
                  24,             0.91792,             0.67188,              1.0888,             0.90166,              0.9004,             0.94421,             0.79148,             0.67093,             0.50224,              1.0036,           0.0076032,           0.0076032,           0.0076032
                  25,             0.92348,             0.67982,               1.086,             0.88121,             0.85262,              0.9495,             0.77075,             0.72224,             0.57513,              1.0443,           0.0074989,           0.0074989,           0.0074989
                  26,             0.90438,             0.65883,              1.0794,             0.92301,             0.89301,             0.95213,             0.78271,             0.69646,             0.50133,              1.0106,           0.0073947,           0.0073947,           0.0073947
                  27,             0.88522,             0.64046,              1.0719,             0.86423,             0.88762,             0.94637,             0.77986,             0.69692,             0.53847,              1.0058,           0.0072905,           0.0072905,           0.0072905
                  28,             0.88954,              0.6539,              1.0751,             0.90219,             0.91241,             0.94994,             0.77515,             0.70772,             0.50883,              1.0059,           0.0071863,           0.0071863,           0.0071863
                  29,             0.88538,             0.64019,              1.0684,             0.90988,             0.92634,             0.96389,              0.8092,             0.64487,             0.42858,             0.98488,           0.0070821,           0.0070821,           0.0070821
                  30,              0.8788,             0.63318,              1.0611,             0.93495,             0.88785,             0.96108,             0.80659,             0.65919,             0.45945,             0.98448,           0.0069779,           0.0069779,           0.0069779
                  31,             0.88018,             0.63058,              1.0653,             0.88869,             0.90884,             0.94969,             0.79055,             0.66561,             0.50424,             0.99348,           0.0068737,           0.0068737,           0.0068737
                  32,             0.88645,             0.62515,              1.0681,             0.93317,             0.90828,             0.96811,              0.8073,             0.67045,             0.48688,             0.99663,           0.0067695,           0.0067695,           0.0067695
                  33,             0.86717,             0.61847,              1.0619,             0.91456,             0.91449,             0.96704,             0.83022,             0.62802,               0.422,             0.97684,           0.0066653,           0.0066653,           0.0066653
                  34,              0.8669,             0.62327,              1.0558,             0.93443,             0.92365,             0.97594,             0.82149,             0.66074,             0.40953,             0.99029,           0.0065611,           0.0065611,           0.0065611
                  35,             0.86217,             0.60718,              1.0583,             0.91233,             0.90398,             0.94815,             0.78962,             0.69724,             0.57676,             0.99998,           0.0064568,           0.0064568,           0.0064568
                  36,             0.85403,             0.59626,              1.0479,             0.93649,             0.90969,             0.96967,             0.81863,             0.64156,              0.4329,             0.98105,           0.0063526,           0.0063526,           0.0063526
                  37,             0.85269,             0.59654,                1.05,             0.92395,              0.9224,             0.96367,             0.81899,             0.63561,             0.41262,             0.97127,           0.0062484,           0.0062484,           0.0062484
                  38,             0.85315,             0.58298,              1.0508,             0.91391,             0.93882,             0.97576,             0.81833,             0.66731,             0.42151,             0.99066,           0.0061442,           0.0061442,           0.0061442
                  39,             0.84792,             0.59176,              1.0536,             0.91749,             0.92258,               0.966,             0.81555,             0.64631,             0.41692,             0.98083,             0.00604,             0.00604,             0.00604
                  40,             0.84237,             0.57592,              1.0407,             0.92702,             0.92676,             0.96622,             0.82007,             0.62365,             0.39556,             0.96702,           0.0059358,           0.0059358,           0.0059358
                  41,             0.83752,             0.58621,              1.0467,             0.92764,             0.90713,             0.96035,             0.81813,             0.62604,             0.43308,             0.98189,           0.0058316,           0.0058316,           0.0058316
