               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1459,              1.7442,              1.2089,             0.86674,             0.84571,             0.92751,             0.76286,             0.67087,             0.58483,             0.96054,            0.070441,           0.0032843,           0.0032843
                   1,             0.95724,             0.89359,              1.0721,             0.86814,             0.81185,             0.90722,             0.71461,             0.77739,             0.81517,              1.0382,            0.040366,           0.0065423,           0.0065423
                   2,               1.021,             0.90022,              1.1071,             0.79027,             0.72861,             0.83142,             0.60506,              1.0144,              1.3575,              1.2584,            0.010215,           0.0097245,           0.0097245
                   3,              1.1128,             0.98098,              1.1642,             0.66954,             0.69849,              0.7444,              0.5099,              1.0469,              4.1976,               1.422,           0.0096586,           0.0096586,           0.0096586
                   4,              1.0768,             0.91223,              1.1485,             0.80824,             0.72021,              0.7954,             0.59779,             0.86808,              2.0514,              1.1455,           0.0096586,           0.0096586,           0.0096586
                   5,              1.0541,             0.88017,              1.1402,             0.85817,             0.79758,             0.89721,             0.68225,             0.85044,              1.0541,              1.1244,           0.0095448,           0.0095448,           0.0095448
                   6,              1.0474,             0.86925,              1.1409,              0.8144,             0.77808,             0.86883,             0.65626,             0.91303,              1.1309,               1.145,            0.009431,            0.009431,            0.009431
                   7,              1.0147,             0.83264,              1.1329,             0.79171,             0.85693,             0.89341,             0.68682,              0.8427,              0.8907,              1.0804,           0.0093172,           0.0093172,           0.0093172
                   8,              1.0096,             0.80328,              1.1223,             0.82667,             0.86495,             0.89005,             0.69339,             0.81096,             0.74586,              1.0758,           0.0092034,           0.0092034,           0.0092034
                   9,              1.0008,             0.80196,              1.1195,             0.87996,             0.86279,             0.94059,             0.75105,             0.74457,             0.62089,              1.0396,           0.0090897,           0.0090897,           0.0090897
                  10,             0.98154,              0.7693,              1.1173,             0.83461,             0.81198,             0.89646,             0.69504,               0.796,              0.8046,              1.0845,           0.0089759,           0.0089759,           0.0089759
                  11,             0.96796,             0.76234,              1.1054,             0.73053,             0.83969,             0.87628,             0.68328,             0.82043,              1.2295,              1.0833,           0.0088621,           0.0088621,           0.0088621
                  12,             0.95888,             0.74404,              1.1026,             0.80521,              0.8213,             0.88537,             0.68715,             0.81786,             0.73796,              1.1003,           0.0087483,           0.0087483,           0.0087483
                  13,             0.94428,             0.72891,              1.0982,             0.87899,             0.86727,             0.93001,              0.7613,             0.71637,             0.55123,              1.0163,           0.0086345,           0.0086345,           0.0086345
                  14,             0.93911,             0.71714,              1.0944,             0.86627,             0.87103,              0.9376,             0.76517,             0.70812,             0.60274,              1.0241,           0.0085207,           0.0085207,           0.0085207
                  15,             0.92163,             0.69007,              1.0826,             0.90926,             0.88717,             0.94988,              0.7843,             0.70417,             0.53391,              1.0213,           0.0084069,           0.0084069,           0.0084069
                  16,             0.92144,             0.68971,              1.0807,              0.9046,             0.87649,             0.94166,              0.7752,             0.70055,             0.53872,               1.013,           0.0082931,           0.0082931,           0.0082931
                  17,             0.91607,             0.68487,              1.0841,             0.91402,             0.88751,             0.96226,             0.79965,             0.67976,             0.48761,               1.012,           0.0081793,           0.0081793,           0.0081793
                  18,             0.89868,             0.66863,              1.0726,             0.90037,             0.90906,             0.96336,             0.81121,             0.64892,             0.47342,             0.98611,           0.0080655,           0.0080655,           0.0080655
                  19,             0.89707,             0.65742,              1.0701,             0.94512,             0.91966,             0.97295,             0.81613,             0.66462,             0.42879,             0.99679,           0.0079517,           0.0079517,           0.0079517
                  20,             0.89482,             0.65437,              1.0739,             0.91293,             0.89545,             0.95726,             0.80232,             0.65512,             0.48816,             0.99568,           0.0078379,           0.0078379,           0.0078379
                  21,             0.89011,             0.64695,              1.0666,             0.93845,             0.91077,             0.97281,             0.81486,              0.6671,             0.42368,             0.99555,           0.0077241,           0.0077241,           0.0077241
                  22,             0.89078,             0.63405,              1.0566,             0.92953,              0.9149,             0.97143,             0.82014,             0.64601,             0.43796,              0.9837,           0.0076103,           0.0076103,           0.0076103
