               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.2977,              4.1391,              4.0843,                   0,                   0,                   0,                   0,              3.3478,              3.6863,              3.9366,            0.070441,           0.0032843,           0.0032843
                   1,              3.3344,              3.0179,              3.4552,            0.061782,             0.18249,            0.049586,            0.014532,              2.3732,              3.0437,              3.2958,            0.040356,           0.0065326,           0.0065326
                   2,              2.2321,              2.1889,              2.4204,             0.37005,             0.51987,             0.37159,             0.15137,               2.251,               3.671,               3.238,            0.010185,           0.0096951,           0.0096951
                   3,              1.7399,               1.699,              1.8633,             0.55445,             0.65612,             0.63324,             0.34747,              1.4589,              1.9273,              2.1782,           0.0096143,           0.0096143,           0.0096143
                   4,              1.5301,              1.4273,              1.6397,             0.66763,             0.65072,              0.7136,             0.43307,              1.3405,              1.6238,              2.0226,           0.0096143,           0.0096143,           0.0096143
                   5,              1.4056,              1.2868,              1.5309,             0.76357,             0.75726,             0.81876,             0.55886,              1.1084,               1.628,              1.7502,           0.0094857,           0.0094857,           0.0094857
                   6,              1.3448,              1.2172,              1.4942,             0.76464,             0.73439,             0.81805,             0.53257,              1.1656,              1.3487,              1.7884,           0.0093571,           0.0093571,           0.0093571
                   7,              1.2734,              1.1344,              1.4418,             0.73463,               0.754,              0.8305,             0.58732,              1.0387,              1.0851,              1.6426,           0.0092286,           0.0092286,           0.0092286
                   8,               1.242,              1.0683,              1.4014,             0.80592,             0.84202,              0.9075,             0.68227,             0.95175,             0.81854,              1.5437,              0.0091,              0.0091,              0.0091
                   9,              1.1985,               1.032,              1.3754,             0.80457,             0.85101,             0.88751,             0.64527,              0.9774,             0.92955,              1.5649,           0.0089714,           0.0089714,           0.0089714
                  10,              1.1668,             0.97788,              1.3526,             0.78117,             0.82994,             0.89882,             0.64382,             0.97044,              1.0296,              1.5638,           0.0088429,           0.0088429,           0.0088429
                  11,              1.1383,             0.95803,              1.3322,             0.81766,             0.85851,             0.92419,             0.69949,             0.88705,             0.80279,              1.4479,           0.0087143,           0.0087143,           0.0087143
                  12,              1.1231,             0.93137,              1.3207,             0.79724,             0.79129,             0.87127,             0.63943,             0.95554,             0.98978,              1.5084,           0.0085857,           0.0085857,           0.0085857
                  13,              1.1003,             0.90224,              1.3088,             0.85557,             0.86018,             0.92745,             0.71702,             0.83972,             0.69043,              1.3908,           0.0084571,           0.0084571,           0.0084571
                  14,              1.0852,             0.87853,              1.2872,             0.87985,             0.86825,             0.93687,             0.73254,             0.82507,             0.66365,              1.3888,           0.0083286,           0.0083286,           0.0083286
                  15,              1.0698,             0.85587,              1.2745,              0.8517,             0.86512,             0.92689,             0.72125,              0.8476,             0.72959,              1.4097,              0.0082,              0.0082,              0.0082
                  16,              1.0506,              0.8356,              1.2597,             0.86062,             0.84506,             0.92414,             0.71765,             0.84588,             0.70484,              1.3859,           0.0080714,           0.0080714,           0.0080714
                  17,              1.0454,             0.82986,              1.2627,             0.83372,             0.86113,             0.92417,             0.73207,             0.79778,             0.68848,              1.3624,           0.0079429,           0.0079429,           0.0079429
                  18,              1.0227,             0.80709,              1.2422,             0.87408,             0.89664,             0.95015,             0.77309,             0.72719,              0.5893,              1.2957,           0.0078143,           0.0078143,           0.0078143
                  19,              1.0164,             0.79397,              1.2383,             0.89757,             0.88825,             0.95111,             0.76355,             0.75541,             0.61218,              1.3017,           0.0076857,           0.0076857,           0.0076857
                  20,              1.0117,             0.79282,               1.243,             0.90577,             0.91379,              0.9637,             0.78184,             0.72609,             0.54029,              1.2887,           0.0075571,           0.0075571,           0.0075571
                  21,              1.0038,             0.78098,              1.2338,             0.89392,             0.87941,             0.95598,             0.78706,             0.71964,             0.57676,              1.2723,           0.0074286,           0.0074286,           0.0074286
                  22,              1.0029,              0.7701,               1.219,             0.87479,              0.8765,              0.9379,             0.76135,             0.74712,              0.6169,              1.3064,              0.0073,              0.0073,              0.0073
                  23,             0.98776,             0.75803,              1.2267,             0.87644,             0.88808,             0.94826,             0.77137,               0.738,             0.57981,              1.2947,           0.0071714,           0.0071714,           0.0071714
                  24,             0.97196,             0.73588,              1.2148,             0.89408,             0.89444,             0.95914,             0.77418,             0.76044,             0.55445,              1.3028,           0.0070429,           0.0070429,           0.0070429
                  25,             0.96214,              0.7345,              1.2047,             0.85936,             0.83604,             0.91068,             0.72179,             0.78543,             0.72804,                1.32,           0.0069143,           0.0069143,           0.0069143
                  26,             0.95669,             0.72832,              1.2015,             0.90043,             0.90865,             0.95625,             0.78372,             0.72534,             0.54106,              1.2713,           0.0067857,           0.0067857,           0.0067857
                  27,             0.95756,              0.7181,              1.2075,             0.90756,             0.87931,             0.96037,             0.77763,              0.7671,             0.53867,              1.3035,           0.0066571,           0.0066571,           0.0066571
                  28,             0.94824,             0.71654,              1.2052,             0.88452,             0.91476,             0.96093,             0.78355,             0.72569,             0.53199,              1.2658,           0.0065286,           0.0065286,           0.0065286
                  29,             0.95896,             0.71504,              1.2049,             0.92795,             0.89634,             0.96083,             0.78788,             0.71171,             0.52102,              1.2573,              0.0064,              0.0064,              0.0064
                  30,             0.94126,             0.68559,              1.1865,              0.9075,             0.91407,             0.96568,             0.77471,             0.75304,             0.51797,              1.2963,           0.0062714,           0.0062714,           0.0062714
