               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1433,              1.3849,              1.2343,             0.77985,             0.89599,              0.8966,             0.74467,             0.66124,             0.60496,             0.97166,            0.070441,           0.0032843,           0.0032843
                   1,             0.95493,             0.79689,              1.0816,             0.90293,             0.89759,             0.96029,             0.78324,              0.7032,             0.51208,             0.99606,             0.04031,           0.0064866,           0.0064866
                   2,              1.0216,             0.81954,              1.1183,             0.80675,              0.8159,             0.87832,             0.64338,             0.95214,              1.4156,              1.2135,            0.010047,           0.0095569,           0.0095569
                   3,              1.1035,             0.90401,              1.1603,             0.55652,              0.4525,             0.43197,             0.24026,              1.6335,              8.2398,              1.8898,            0.009406,            0.009406,            0.009406
                   4,              1.0823,             0.85342,               1.152,             0.83076,             0.74985,             0.83518,             0.63526,             0.86498,              1.2958,              1.1628,            0.009406,            0.009406,            0.009406
                   5,               1.054,             0.82029,              1.1465,              0.8605,             0.85531,             0.90191,              0.6851,             0.87069,             0.83044,              1.1302,            0.009208,            0.009208,            0.009208
                   6,              1.0442,             0.80446,              1.1452,             0.87765,             0.85968,             0.92569,             0.71389,             0.82633,             0.74556,              1.0935,             0.00901,             0.00901,             0.00901
                   7,              1.0207,             0.76854,              1.1336,             0.86184,             0.75986,             0.89275,             0.70324,             0.80282,              1.1814,              1.0778,            0.008812,            0.008812,            0.008812
                   8,              1.0055,             0.74228,              1.1195,             0.92613,              0.8758,             0.94399,             0.72683,             0.83285,             0.68983,              1.0829,            0.008614,            0.008614,            0.008614
                   9,             0.99324,             0.74014,              1.1146,             0.88513,              0.8371,             0.93065,             0.75352,             0.73934,             0.70929,              1.0196,            0.008416,            0.008416,            0.008416
                  10,             0.97533,              0.7063,              1.1086,             0.91775,             0.89425,             0.95921,             0.77573,             0.76395,             0.54908,              1.0639,            0.008218,            0.008218,            0.008218
                  11,             0.96077,             0.69267,              1.0999,             0.92968,             0.88926,             0.95506,             0.77451,              0.7109,             0.57798,              1.0145,             0.00802,             0.00802,             0.00802
                  12,             0.94657,             0.68125,              1.0949,             0.90713,             0.87731,             0.93511,             0.75457,             0.73773,             0.58428,              1.0119,            0.007822,            0.007822,            0.007822
                  13,             0.93835,             0.66755,              1.0941,             0.91307,             0.89021,             0.95663,             0.78336,             0.69986,             0.47783,              1.0279,            0.007624,            0.007624,            0.007624
                  14,             0.92586,             0.65429,              1.0867,             0.91713,             0.92188,             0.96706,             0.79457,              0.6973,             0.46805,              1.0023,            0.007426,            0.007426,            0.007426
                  15,             0.91682,             0.63076,              1.0774,             0.93962,             0.87975,              0.9596,             0.79095,             0.69614,             0.46941,              1.0032,            0.007228,            0.007228,            0.007228
                  16,             0.90373,             0.62589,              1.0692,             0.92241,              0.9269,              0.9672,             0.81087,             0.66798,             0.43031,             0.99127,             0.00703,             0.00703,             0.00703
                  17,              0.9025,             0.62567,               1.072,             0.92614,             0.89883,             0.95466,             0.79206,                0.68,             0.46584,              1.0065,            0.006832,            0.006832,            0.006832
                  18,             0.88514,             0.60645,              1.0631,             0.95007,             0.90718,             0.96881,             0.81129,             0.65725,             0.43154,             0.99032,            0.006634,            0.006634,            0.006634
                  19,             0.88384,             0.59883,              1.0623,             0.90535,             0.87544,              0.9531,             0.78514,             0.70847,             0.50479,              1.0171,            0.006436,            0.006436,            0.006436
                  20,             0.88042,              0.5991,              1.0628,             0.93502,             0.93595,             0.97623,             0.82222,             0.66479,             0.40355,             0.99717,            0.006238,            0.006238,            0.006238
                  21,             0.87428,             0.58598,              1.0571,             0.93464,             0.90461,             0.96805,             0.81874,              0.6498,             0.43254,             0.98842,             0.00604,             0.00604,             0.00604
                  22,             0.87596,             0.58077,              1.0498,             0.94725,             0.93491,             0.97447,             0.83187,             0.63041,             0.38338,              0.9689,            0.005842,            0.005842,            0.005842
                  23,             0.86136,             0.57142,              1.0509,             0.95191,             0.93301,             0.97495,             0.82916,             0.63241,             0.40443,             0.97584,            0.005644,            0.005644,            0.005644
                  24,             0.85115,             0.56372,              1.0469,             0.93724,             0.90619,             0.97266,             0.81487,             0.66599,             0.43725,             0.98425,            0.005446,            0.005446,            0.005446
                  25,             0.84547,             0.55956,              1.0402,             0.93376,             0.91045,              0.9674,             0.82637,             0.63732,             0.40479,             0.96643,            0.005248,            0.005248,            0.005248
                  26,             0.83723,             0.54598,              1.0338,             0.94038,             0.92635,             0.97707,             0.83606,             0.63088,             0.38474,             0.96609,             0.00505,             0.00505,             0.00505
                  27,             0.83349,             0.53849,              1.0385,             0.95031,             0.92933,             0.97914,             0.84083,             0.63241,             0.35419,             0.96952,            0.004852,            0.004852,            0.004852
                  28,             0.82361,             0.53896,              1.0353,             0.93569,             0.94423,             0.97874,              0.8291,             0.64426,             0.38627,              0.9635,            0.004654,            0.004654,            0.004654
                  29,             0.83768,             0.53487,              1.0366,             0.94129,             0.92821,             0.97113,             0.82937,             0.64247,             0.38897,             0.97233,            0.004456,            0.004456,            0.004456
                  30,             0.81707,              0.5168,              1.0259,             0.93025,             0.93552,             0.96752,             0.82311,             0.62679,             0.42679,               0.967,            0.004258,            0.004258,            0.004258
                  31,              0.8143,              0.5128,              1.0263,             0.93421,             0.93881,              0.9737,             0.83672,             0.61693,             0.37426,             0.95656,             0.00406,             0.00406,             0.00406
