               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.9259,              1.4983,              1.1625,             0.86027,               0.852,              0.9321,             0.76764,              0.6784,             0.61948,             0.96436,            0.070441,           0.0032843,           0.0032843
                   1,             0.68733,             0.53572,             0.96376,             0.79586,             0.84253,             0.92012,             0.73714,             0.83109,              0.9339,              1.0551,            0.040096,           0.0062728,           0.0062728
                   2,             0.74085,             0.55833,             0.99361,             0.66816,             0.56099,             0.60031,             0.42333,              1.1152,              4.2668,              1.3256,           0.0094042,            0.008914,            0.008914
                   3,             0.77858,             0.56027,              1.0161,             0.65596,              0.6361,              0.6876,             0.51905,              1.1002,              4.6645,               1.417,           0.0084368,           0.0084368,           0.0084368
                   4,             0.74258,             0.50737,             0.99561,             0.71913,              0.5287,             0.62593,             0.45806,              1.2989,                2.75,              1.6064,           0.0084368,           0.0084368,           0.0084368
                   5,             0.70659,             0.46356,             0.97552,             0.79048,             0.73282,             0.83664,             0.66522,              1.0663,              1.3145,              1.3642,           0.0079158,           0.0079158,           0.0079158
                   6,             0.66955,              0.4277,             0.95535,              0.9119,             0.81574,             0.88764,             0.69876,              1.0876,              1.1367,              1.3984,           0.0073947,           0.0073947,           0.0073947
                   7,             0.63844,             0.38717,             0.93943,             0.84882,             0.77388,             0.84349,             0.67789,              1.0814,              1.1462,              1.4905,           0.0068737,           0.0068737,           0.0068737
                   8,             0.60462,              0.3665,             0.92546,             0.89774,             0.86335,             0.92794,             0.75836,             0.98172,             0.66961,              1.2563,           0.0063526,           0.0063526,           0.0063526
                   9,             0.57908,             0.33711,             0.91263,             0.91473,             0.79657,             0.90288,             0.72083,              1.0212,             0.93106,              1.3164,           0.0058316,           0.0058316,           0.0058316
                  10,             0.54674,             0.30872,             0.89569,             0.90819,             0.84427,              0.9083,             0.74816,             0.96808,             0.78922,              1.2484,           0.0053105,           0.0053105,           0.0053105
                  11,             0.51305,             0.28443,             0.88189,             0.85812,              0.7797,             0.88724,             0.73309,              1.0184,              1.0074,               1.353,           0.0047895,           0.0047895,           0.0047895
                  12,             0.48421,             0.26847,             0.87146,             0.90628,             0.85676,             0.92042,             0.74471,              1.0098,             0.79004,               1.305,           0.0042684,           0.0042684,           0.0042684
                  13,             0.45008,             0.24188,             0.85838,             0.93992,             0.84031,             0.90718,             0.75617,             0.92546,             0.68182,              1.2021,           0.0037474,           0.0037474,           0.0037474
                  14,             0.41536,              0.2246,              0.8466,             0.89237,             0.88956,             0.90458,             0.75245,             0.94736,             0.64322,              1.2434,           0.0032263,           0.0032263,           0.0032263
                  15,             0.38381,             0.21209,             0.83639,             0.93908,             0.88361,             0.92698,              0.7707,             0.95142,             0.61036,              1.2403,           0.0027053,           0.0027053,           0.0027053
                  16,             0.34663,             0.19488,             0.82606,             0.92711,             0.88669,             0.93316,             0.77799,             0.93281,             0.58224,              1.2501,           0.0021842,           0.0021842,           0.0021842
                  17,             0.31019,             0.17806,             0.81669,             0.90661,             0.90899,             0.93531,             0.78033,             0.96232,             0.55723,              1.3266,           0.0016632,           0.0016632,           0.0016632
                  18,             0.27351,             0.16324,             0.80778,             0.93049,              0.8908,             0.93541,             0.78067,             0.95943,             0.54764,              1.3194,           0.0011421,           0.0011421,           0.0011421
