               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.91068,              1.4207,              1.1596,             0.88313,             0.87101,              0.9454,             0.79225,             0.66863,             0.53333,             0.95902,            0.070441,           0.0032843,           0.0032843
                   1,             0.68848,             0.53942,             0.96723,             0.82415,             0.72623,             0.86522,             0.69135,             0.89884,              1.1903,              1.1125,            0.040096,           0.0062728,           0.0062728
                   2,             0.74056,             0.55913,             0.99436,             0.65285,             0.61855,             0.61188,             0.45611,              1.0627,              6.7439,               1.289,           0.0094042,            0.008914,            0.008914
                   3,             0.78036,             0.55754,               1.017,             0.57372,               0.651,             0.62758,             0.45824,              1.2422,              6.6038,              1.7504,           0.0084368,           0.0084368,           0.0084368
                   4,             0.74269,             0.51798,             0.99631,             0.70946,             0.64536,             0.70961,              0.5387,              1.1637,              3.3223,              1.5157,           0.0084368,           0.0084368,           0.0084368
                   5,             0.70783,              0.4711,             0.97665,             0.69407,              0.7562,             0.84206,             0.65872,              1.0844,              1.4514,              1.3505,           0.0079158,           0.0079158,           0.0079158
                   6,             0.67488,             0.43114,             0.96104,             0.82814,             0.80867,             0.88726,             0.69686,              1.1024,              0.8682,              1.3311,           0.0073947,           0.0073947,           0.0073947
                   7,             0.64267,             0.40221,             0.94295,             0.90147,             0.81571,             0.89462,             0.72869,              1.0486,             0.86923,              1.4081,           0.0068737,           0.0068737,           0.0068737
                   8,             0.60927,             0.37145,             0.92776,             0.87818,             0.86612,             0.91502,              0.7438,               1.015,             0.67412,               1.315,           0.0063526,           0.0063526,           0.0063526
                   9,             0.58303,             0.34593,             0.91549,             0.86068,             0.83709,             0.89827,             0.73231,              1.0012,             0.68355,               1.332,           0.0058316,           0.0058316,           0.0058316
                  10,             0.55165,             0.31875,             0.90045,             0.85409,              0.8142,             0.88389,             0.71905,             0.95883,             0.78245,              1.2279,           0.0053105,           0.0053105,           0.0053105
                  11,             0.51908,             0.28565,             0.88542,             0.89992,             0.89135,             0.93119,             0.76973,             0.99609,             0.59866,              1.3387,           0.0047895,           0.0047895,           0.0047895
                  12,             0.48281,             0.26682,             0.87204,             0.91303,             0.88294,              0.9279,             0.76806,             0.95608,             0.60566,              1.2656,           0.0042684,           0.0042684,           0.0042684
                  13,             0.45527,             0.24708,             0.86118,             0.91443,             0.89141,             0.93348,             0.78564,             0.90369,             0.57023,              1.1823,           0.0037474,           0.0037474,           0.0037474
                  14,             0.42118,             0.22871,             0.84989,             0.93104,             0.89276,             0.93415,             0.77903,             0.92997,              0.5557,              1.2266,           0.0032263,           0.0032263,           0.0032263
                  15,             0.38627,             0.21175,             0.83895,             0.91642,             0.85555,             0.92152,             0.76929,             0.91612,             0.60528,              1.2224,           0.0027053,           0.0027053,           0.0027053
                  16,              0.3486,             0.19435,             0.82747,             0.94343,             0.87479,             0.93725,             0.78526,             0.95942,             0.54765,              1.3135,           0.0021842,           0.0021842,           0.0021842
                  17,             0.31103,             0.17758,               0.818,             0.94616,             0.87764,               0.935,             0.78368,             0.94332,               0.564,              1.3176,           0.0016632,           0.0016632,           0.0016632
                  18,             0.27701,             0.16385,             0.80956,             0.94149,             0.88378,             0.94242,             0.78688,             0.96916,             0.53805,              1.3704,           0.0011421,           0.0011421,           0.0011421
