               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1472,              1.6024,              1.2306,             0.79349,             0.83342,             0.88804,             0.68968,             0.72958,             0.70283,               1.007,             0.07033,           0.0032967,           0.0032967
                   1,             0.97939,             0.90615,              1.0986,             0.83282,             0.85695,             0.91772,             0.73039,             0.72399,             0.71534,              1.0068,            0.040237,           0.0065376,           0.0065376
                   2,              1.0663,             0.94309,              1.1366,             0.80062,             0.76811,             0.84948,             0.63445,             0.88476,             0.88973,              1.2051,            0.010052,           0.0096855,           0.0096855
                   3,              1.1421,              1.0133,              1.1945,             0.69917,             0.65425,             0.72536,               0.457,              1.1805,                2.78,              1.4576,           0.0095817,           0.0095817,           0.0095817
                   4,               1.119,             0.98049,              1.1854,              0.8625,             0.83205,             0.89956,             0.67998,             0.84222,                1.01,              1.1226,           0.0095817,           0.0095817,           0.0095817
                   5,              1.0896,              0.9409,              1.1804,             0.82362,             0.75295,             0.83527,             0.64069,             0.81753,              1.1307,              1.1087,           0.0094423,           0.0094423,           0.0094423
                   6,              1.0559,             0.88596,              1.1641,             0.80135,              0.8577,             0.92241,             0.72523,             0.75175,             0.69244,              1.0682,           0.0093028,           0.0093028,           0.0093028
                   7,              1.0353,             0.86944,              1.1525,             0.88661,             0.85368,             0.93148,              0.7468,             0.73183,             0.62493,              1.0406,           0.0091634,           0.0091634,           0.0091634
                   8,              1.0253,             0.84337,              1.1403,              0.8456,             0.85873,              0.9345,             0.74252,             0.73024,             0.66568,              1.0488,           0.0090239,           0.0090239,           0.0090239
                   9,              1.0029,             0.81983,              1.1299,             0.85734,             0.82157,             0.91755,             0.72435,             0.73116,             0.70131,              1.0529,           0.0088845,           0.0088845,           0.0088845
